Original MusicXML File,Converted Kern File,Status
olimpic-1.0-synthetic/samples/6230260/p3-s4.musicxml,converted_kern2/6230260_p3-s4.krn,Success
olimpic-1.0-synthetic/samples/6230260/p1-s1.musicxml,converted_kern2/6230260_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6230260/p4-s1.musicxml,converted_kern2/6230260_p4-s1.krn,Success
olimpic-1.0-synthetic/samples/6230260/p2-s1.musicxml,converted_kern2/6230260_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/6230260/p3-s3.musicxml,converted_kern2/6230260_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/6230260/p3-s2.musicxml,converted_kern2/6230260_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/6141648/p1-s2.musicxml,converted_kern2/6141648_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6141648/p1-s3.musicxml,converted_kern2/6141648_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6141648/p1-s4.musicxml,converted_kern2/6141648_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/6141648/p1-s1.musicxml,converted_kern2/6141648_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6826058/p1-s2.musicxml,converted_kern2/6826058_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6826058/p1-s3.musicxml,converted_kern2/6826058_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6826058/p2-s4.musicxml,converted_kern2/6826058_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6826058/p1-s4.musicxml,converted_kern2/6826058_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/6826058/p2-s2.musicxml,converted_kern2/6826058_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6826058/p2-s3.musicxml,converted_kern2/6826058_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6826058/p1-s1.musicxml,converted_kern2/6826058_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6826058/p2-s1.musicxml,converted_kern2/6826058_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/5098732/p1-s2.musicxml,converted_kern2/5098732_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/5098732/p1-s3.musicxml,converted_kern2/5098732_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/5098732/p2-s5.musicxml,converted_kern2/5098732_p2-s5.krn,Success
olimpic-1.0-synthetic/samples/5098732/p2-s4.musicxml,converted_kern2/5098732_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/5098732/p1-s4.musicxml,converted_kern2/5098732_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/5098732/p2-s2.musicxml,converted_kern2/5098732_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/5098732/p2-s3.musicxml,converted_kern2/5098732_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/5098732/p1-s1.musicxml,converted_kern2/5098732_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/5098732/p2-s1.musicxml,converted_kern2/5098732_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/6260379/p1-s2.musicxml,converted_kern2/6260379_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6260379/p1-s3.musicxml,converted_kern2/6260379_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6260379/p2-s5.musicxml,converted_kern2/6260379_p2-s5.krn,Success
olimpic-1.0-synthetic/samples/6260379/p2-s4.musicxml,converted_kern2/6260379_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6260379/p1-s4.musicxml,converted_kern2/6260379_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/6260379/p2-s2.musicxml,converted_kern2/6260379_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6260379/p2-s3.musicxml,converted_kern2/6260379_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6260379/p1-s1.musicxml,converted_kern2/6260379_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6260379/p2-s1.musicxml,converted_kern2/6260379_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/6915753/p1-s2.musicxml,converted_kern2/6915753_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6915753/p1-s3.musicxml,converted_kern2/6915753_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6915753/p1-s4.musicxml,converted_kern2/6915753_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/6915753/p1-s1.musicxml,converted_kern2/6915753_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6586675/p7-s4.musicxml,converted_kern2/6586675_p7-s4.krn,Success
olimpic-1.0-synthetic/samples/6586675/p5-s1.musicxml,converted_kern2/6586675_p5-s1.krn,Success
olimpic-1.0-synthetic/samples/6586675/p4-s2.musicxml,converted_kern2/6586675_p4-s2.krn,Success
olimpic-1.0-synthetic/samples/6586675/p4-s3.musicxml,converted_kern2/6586675_p4-s3.krn,Success
olimpic-1.0-synthetic/samples/6586675/p1-s2.musicxml,converted_kern2/6586675_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6586675/p1-s3.musicxml,converted_kern2/6586675_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6586675/p2-s4.musicxml,converted_kern2/6586675_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6586675/p8-s3.musicxml,converted_kern2/6586675_p8-s3.krn,Success
olimpic-1.0-synthetic/samples/6586675/p8-s2.musicxml,converted_kern2/6586675_p8-s2.krn,Success
olimpic-1.0-synthetic/samples/6586675/p2-s2.musicxml,converted_kern2/6586675_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6586675/p2-s3.musicxml,converted_kern2/6586675_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6586675/p3-s1.musicxml,converted_kern2/6586675_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/6586675/p8-s4.musicxml,converted_kern2/6586675_p8-s4.krn,Success
olimpic-1.0-synthetic/samples/6586675/p8-s5.musicxml,converted_kern2/6586675_p8-s5.krn,Success
olimpic-1.0-synthetic/samples/6586675/p7-s2.musicxml,converted_kern2/6586675_p7-s2.krn,Success
olimpic-1.0-synthetic/samples/6586675/p7-s3.musicxml,converted_kern2/6586675_p7-s3.krn,Success
olimpic-1.0-synthetic/samples/6586675/p6-s1.musicxml,converted_kern2/6586675_p6-s1.krn,Success
olimpic-1.0-synthetic/samples/6586675/p4-s4.musicxml,converted_kern2/6586675_p4-s4.krn,Success
olimpic-1.0-synthetic/samples/6586675/p3-s4.musicxml,converted_kern2/6586675_p3-s4.krn,Success
olimpic-1.0-synthetic/samples/6586675/p8-s1.musicxml,converted_kern2/6586675_p8-s1.krn,Success
olimpic-1.0-synthetic/samples/6586675/p1-s1.musicxml,converted_kern2/6586675_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6586675/p5-s3.musicxml,converted_kern2/6586675_p5-s3.krn,Success
olimpic-1.0-synthetic/samples/6586675/p5-s2.musicxml,converted_kern2/6586675_p5-s2.krn,Success
olimpic-1.0-synthetic/samples/6586675/p4-s1.musicxml,converted_kern2/6586675_p4-s1.krn,Success
olimpic-1.0-synthetic/samples/6586675/p6-s4.musicxml,converted_kern2/6586675_p6-s4.krn,Success
olimpic-1.0-synthetic/samples/6586675/p5-s4.musicxml,converted_kern2/6586675_p5-s4.krn,Success
olimpic-1.0-synthetic/samples/6586675/p7-s1.musicxml,converted_kern2/6586675_p7-s1.krn,Success
olimpic-1.0-synthetic/samples/6586675/p6-s3.musicxml,converted_kern2/6586675_p6-s3.krn,Success
olimpic-1.0-synthetic/samples/6586675/p6-s2.musicxml,converted_kern2/6586675_p6-s2.krn,Success
olimpic-1.0-synthetic/samples/6586675/p2-s1.musicxml,converted_kern2/6586675_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/6586675/p3-s3.musicxml,converted_kern2/6586675_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/6586675/p3-s2.musicxml,converted_kern2/6586675_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/6910483/p1-s2.musicxml,converted_kern2/6910483_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6910483/p1-s1.musicxml,converted_kern2/6910483_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6910483/p2-s1.musicxml,converted_kern2/6910483_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/5087944/p1-s2.musicxml,converted_kern2/5087944_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/5087944/p1-s3.musicxml,converted_kern2/5087944_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/5087944/p1-s1.musicxml,converted_kern2/5087944_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/5818033/p4-s2.musicxml,converted_kern2/5818033_p4-s2.krn,Success
olimpic-1.0-synthetic/samples/5818033/p4-s3.musicxml,converted_kern2/5818033_p4-s3.krn,Success
olimpic-1.0-synthetic/samples/5818033/p1-s2.musicxml,converted_kern2/5818033_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/5818033/p1-s3.musicxml,converted_kern2/5818033_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/5818033/p2-s4.musicxml,converted_kern2/5818033_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/5818033/p2-s2.musicxml,converted_kern2/5818033_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/5818033/p2-s3.musicxml,converted_kern2/5818033_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/5818033/p3-s1.musicxml,converted_kern2/5818033_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/5818033/p4-s4.musicxml,converted_kern2/5818033_p4-s4.krn,Success
olimpic-1.0-synthetic/samples/5818033/p3-s4.musicxml,converted_kern2/5818033_p3-s4.krn,Success
olimpic-1.0-synthetic/samples/5818033/p1-s1.musicxml,converted_kern2/5818033_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/5818033/p4-s1.musicxml,converted_kern2/5818033_p4-s1.krn,Success
olimpic-1.0-synthetic/samples/5818033/p2-s1.musicxml,converted_kern2/5818033_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/5818033/p3-s3.musicxml,converted_kern2/5818033_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/5818033/p3-s2.musicxml,converted_kern2/5818033_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/6649053/p5-s1.musicxml,converted_kern2/6649053_p5-s1.krn,Success
olimpic-1.0-synthetic/samples/6649053/p4-s2.musicxml,converted_kern2/6649053_p4-s2.krn,Success
olimpic-1.0-synthetic/samples/6649053/p4-s3.musicxml,converted_kern2/6649053_p4-s3.krn,Success
olimpic-1.0-synthetic/samples/6649053/p1-s2.musicxml,converted_kern2/6649053_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6649053/p2-s4.musicxml,converted_kern2/6649053_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6649053/p2-s2.musicxml,converted_kern2/6649053_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6649053/p2-s3.musicxml,converted_kern2/6649053_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6649053/p3-s1.musicxml,converted_kern2/6649053_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/6649053/p4-s4.musicxml,converted_kern2/6649053_p4-s4.krn,Success
olimpic-1.0-synthetic/samples/6649053/p3-s4.musicxml,converted_kern2/6649053_p3-s4.krn,Success
olimpic-1.0-synthetic/samples/6649053/p1-s1.musicxml,converted_kern2/6649053_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6649053/p5-s3.musicxml,converted_kern2/6649053_p5-s3.krn,Success
olimpic-1.0-synthetic/samples/6649053/p5-s2.musicxml,converted_kern2/6649053_p5-s2.krn,Success
olimpic-1.0-synthetic/samples/6649053/p4-s1.musicxml,converted_kern2/6649053_p4-s1.krn,Success
olimpic-1.0-synthetic/samples/6649053/p5-s4.musicxml,converted_kern2/6649053_p5-s4.krn,Success
olimpic-1.0-synthetic/samples/6649053/p2-s1.musicxml,converted_kern2/6649053_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/6649053/p3-s3.musicxml,converted_kern2/6649053_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/6649053/p3-s2.musicxml,converted_kern2/6649053_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/6925763/p1-s2.musicxml,converted_kern2/6925763_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6925763/p1-s3.musicxml,converted_kern2/6925763_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6925763/p2-s5.musicxml,converted_kern2/6925763_p2-s5.krn,Success
olimpic-1.0-synthetic/samples/6925763/p2-s4.musicxml,converted_kern2/6925763_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6925763/p1-s5.musicxml,converted_kern2/6925763_p1-s5.krn,Success
olimpic-1.0-synthetic/samples/6925763/p1-s4.musicxml,converted_kern2/6925763_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/6925763/p2-s2.musicxml,converted_kern2/6925763_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6925763/p2-s3.musicxml,converted_kern2/6925763_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6925763/p3-s1.musicxml,converted_kern2/6925763_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/6925763/p3-s4.musicxml,converted_kern2/6925763_p3-s4.krn,Success
olimpic-1.0-synthetic/samples/6925763/p3-s5.musicxml,converted_kern2/6925763_p3-s5.krn,Success
olimpic-1.0-synthetic/samples/6925763/p1-s1.musicxml,converted_kern2/6925763_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6925763/p2-s1.musicxml,converted_kern2/6925763_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/6925763/p3-s3.musicxml,converted_kern2/6925763_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/6925763/p3-s2.musicxml,converted_kern2/6925763_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/5087729/p4-s2.musicxml,converted_kern2/5087729_p4-s2.krn,Success
olimpic-1.0-synthetic/samples/5087729/p4-s3.musicxml,converted_kern2/5087729_p4-s3.krn,Success
olimpic-1.0-synthetic/samples/5087729/p1-s2.musicxml,converted_kern2/5087729_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/5087729/p1-s3.musicxml,converted_kern2/5087729_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/5087729/p2-s4.musicxml,converted_kern2/5087729_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/5087729/p1-s4.musicxml,converted_kern2/5087729_p1-s4.krn,Success
olimpic-1.0-synthetic/samples/5087729/p2-s2.musicxml,converted_kern2/5087729_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/5087729/p2-s3.musicxml,converted_kern2/5087729_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/5087729/p3-s1.musicxml,converted_kern2/5087729_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/5087729/p4-s4.musicxml,converted_kern2/5087729_p4-s4.krn,Success
olimpic-1.0-synthetic/samples/5087729/p3-s4.musicxml,converted_kern2/5087729_p3-s4.krn,Success
olimpic-1.0-synthetic/samples/5087729/p1-s1.musicxml,converted_kern2/5087729_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/5087729/p4-s1.musicxml,converted_kern2/5087729_p4-s1.krn,Success
olimpic-1.0-synthetic/samples/5087729/p2-s1.musicxml,converted_kern2/5087729_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/5087729/p3-s3.musicxml,converted_kern2/5087729_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/5087729/p3-s2.musicxml,converted_kern2/5087729_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/4999292/p5-s1.musicxml,converted_kern2/4999292_p5-s1.krn,Success
olimpic-1.0-synthetic/samples/4999292/p1-s2.musicxml,converted_kern2/4999292_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/4999292/p1-s3.musicxml,converted_kern2/4999292_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/4999292/p2-s4.musicxml,converted_kern2/4999292_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/4999292/p2-s2.musicxml,converted_kern2/4999292_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/4999292/p2-s3.musicxml,converted_kern2/4999292_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/4999292/p3-s1.musicxml,converted_kern2/4999292_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/4999292/p1-s1.musicxml,converted_kern2/4999292_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/4999292/p5-s3.musicxml,converted_kern2/4999292_p5-s3.krn,Success
olimpic-1.0-synthetic/samples/4999292/p5-s2.musicxml,converted_kern2/4999292_p5-s2.krn,Success
olimpic-1.0-synthetic/samples/4999292/p4-s1.musicxml,converted_kern2/4999292_p4-s1.krn,Success
olimpic-1.0-synthetic/samples/4999292/p5-s4.musicxml,converted_kern2/4999292_p5-s4.krn,Success
olimpic-1.0-synthetic/samples/4999292/p2-s1.musicxml,converted_kern2/4999292_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/4999292/p3-s3.musicxml,converted_kern2/4999292_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/4999292/p3-s2.musicxml,converted_kern2/4999292_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/6812631/p1-s2.musicxml,converted_kern2/6812631_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6812631/p1-s3.musicxml,converted_kern2/6812631_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6812631/p2-s4.musicxml,converted_kern2/6812631_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6812631/p2-s2.musicxml,converted_kern2/6812631_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6812631/p2-s3.musicxml,converted_kern2/6812631_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6812631/p1-s1.musicxml,converted_kern2/6812631_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6812631/p2-s1.musicxml,converted_kern2/6812631_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/7163829/p1-s2.musicxml,converted_kern2/7163829_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/7163829/p1-s3.musicxml,converted_kern2/7163829_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/7163829/p2-s2.musicxml,converted_kern2/7163829_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/7163829/p2-s3.musicxml,converted_kern2/7163829_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/7163829/p3-s1.musicxml,converted_kern2/7163829_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/7163829/p1-s1.musicxml,converted_kern2/7163829_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/7163829/p2-s1.musicxml,converted_kern2/7163829_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/7163829/p3-s3.musicxml,converted_kern2/7163829_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/7163829/p3-s2.musicxml,converted_kern2/7163829_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/5060918/p5-s1.musicxml,converted_kern2/5060918_p5-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p1-s2.musicxml,converted_kern2/5060918_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/5060918/p1-s3.musicxml,converted_kern2/5060918_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/5060918/p11-s1.musicxml,converted_kern2/5060918_p11-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p9-s1.musicxml,converted_kern2/5060918_p9-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p10-s2.musicxml,converted_kern2/5060918_p10-s2.krn,Success
olimpic-1.0-synthetic/samples/5060918/p10-s3.musicxml,converted_kern2/5060918_p10-s3.krn,Success
olimpic-1.0-synthetic/samples/5060918/p3-s1.musicxml,converted_kern2/5060918_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p7-s2.musicxml,converted_kern2/5060918_p7-s2.krn,Success
olimpic-1.0-synthetic/samples/5060918/p7-s3.musicxml,converted_kern2/5060918_p7-s3.krn,Success
olimpic-1.0-synthetic/samples/5060918/p6-s1.musicxml,converted_kern2/5060918_p6-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p9-s2.musicxml,converted_kern2/5060918_p9-s2.krn,Success
olimpic-1.0-synthetic/samples/5060918/p9-s3.musicxml,converted_kern2/5060918_p9-s3.krn,Success
olimpic-1.0-synthetic/samples/5060918/p10-s1.musicxml,converted_kern2/5060918_p10-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p8-s1.musicxml,converted_kern2/5060918_p8-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p1-s1.musicxml,converted_kern2/5060918_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p5-s3.musicxml,converted_kern2/5060918_p5-s3.krn,Success
olimpic-1.0-synthetic/samples/5060918/p5-s2.musicxml,converted_kern2/5060918_p5-s2.krn,Success
olimpic-1.0-synthetic/samples/5060918/p4-s1.musicxml,converted_kern2/5060918_p4-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p7-s1.musicxml,converted_kern2/5060918_p7-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p2-s1.musicxml,converted_kern2/5060918_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/5060918/p9-s4.musicxml,converted_kern2/5060918_p9-s4.krn,Success
olimpic-1.0-synthetic/samples/5060918/p3-s3.musicxml,converted_kern2/5060918_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/5060918/p3-s2.musicxml,converted_kern2/5060918_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/6230258/p1-s2.musicxml,converted_kern2/6230258_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/6230258/p1-s3.musicxml,converted_kern2/6230258_p1-s3.krn,Success
olimpic-1.0-synthetic/samples/6230258/p2-s4.musicxml,converted_kern2/6230258_p2-s4.krn,Success
olimpic-1.0-synthetic/samples/6230258/p2-s2.musicxml,converted_kern2/6230258_p2-s2.krn,Success
olimpic-1.0-synthetic/samples/6230258/p2-s3.musicxml,converted_kern2/6230258_p2-s3.krn,Success
olimpic-1.0-synthetic/samples/6230258/p3-s1.musicxml,converted_kern2/6230258_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/6230258/p3-s4.musicxml,converted_kern2/6230258_p3-s4.krn,Success
olimpic-1.0-synthetic/samples/6230258/p1-s1.musicxml,converted_kern2/6230258_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/6230258/p2-s1.musicxml,converted_kern2/6230258_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/6230258/p3-s3.musicxml,converted_kern2/6230258_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/6230258/p3-s2.musicxml,converted_kern2/6230258_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/4999602/p5-s1.musicxml,converted_kern2/4999602_p5-s1.krn,Success
olimpic-1.0-synthetic/samples/4999602/p1-s2.musicxml,converted_kern2/4999602_p1-s2.krn,Success
olimpic-1.0-synthetic/samples/4999602/p3-s1.musicxml,converted_kern2/4999602_p3-s1.krn,Success
olimpic-1.0-synthetic/samples/4999602/p7-s2.musicxml,converted_kern2/4999602_p7-s2.krn,Success
olimpic-1.0-synthetic/samples/4999602/p7-s3.musicxml,converted_kern2/4999602_p7-s3.krn,Success
olimpic-1.0-synthetic/samples/4999602/p6-s1.musicxml,converted_kern2/4999602_p6-s1.krn,Success
olimpic-1.0-synthetic/samples/4999602/p8-s1.musicxml,converted_kern2/4999602_p8-s1.krn,Success
olimpic-1.0-synthetic/samples/4999602/p1-s1.musicxml,converted_kern2/4999602_p1-s1.krn,Success
olimpic-1.0-synthetic/samples/4999602/p5-s3.musicxml,converted_kern2/4999602_p5-s3.krn,Success
olimpic-1.0-synthetic/samples/4999602/p5-s2.musicxml,converted_kern2/4999602_p5-s2.krn,Success
olimpic-1.0-synthetic/samples/4999602/p4-s1.musicxml,converted_kern2/4999602_p4-s1.krn,Success
olimpic-1.0-synthetic/samples/4999602/p7-s1.musicxml,converted_kern2/4999602_p7-s1.krn,Success
olimpic-1.0-synthetic/samples/4999602/p2-s1.musicxml,converted_kern2/4999602_p2-s1.krn,Success
olimpic-1.0-synthetic/samples/4999602/p3-s3.musicxml,converted_kern2/4999602_p3-s3.krn,Success
olimpic-1.0-synthetic/samples/4999602/p3-s2.musicxml,converted_kern2/4999602_p3-s2.krn,Success
olimpic-1.0-synthetic/samples/6236152/p5-s1.musicxml,converted_kern2/6236152_p5-s1.krn,Success
